公車到達時間,車站序號,車站名稱,車站編號,latitude,longitude
3分鐘,16,捷運新店區公所站(北新),2314700900,24.967638,121.5416161
5分鐘,17,七張(北新路),2314300000,24.971513,121.542921
8分鐘,18,捷運七張站,2314301100,24.9753,121.5430453
9分鐘,19,新店郵局,2314301700,24.978161,121.542795
10分鐘,20,大坪林,2314300100,24.981232,121.5418387
12分鐘,21,捷運大坪林站,2314301200,24.983344,121.5413983
3分鐘,23,捷運景美站,1167000200,24.992366,121.5407616
4分鐘,24,財政園區,1167000000,24.995452,121.5413365
5分鐘,25,萬隆,1167000400,24.999316,121.5402001
4分鐘,28,師大分部,1168100200,25.006894,121.53901
6分鐘,29,公館,1067300020,25.012096,121.5385308
7分鐘,30,臺灣科技大學,1060700020,25.013453,121.5401488
8分鐘,31,臺大癌醫(基隆路),1067200720,25.015521,121.5425256
9分鐘,32,基隆長興街口,1067200320,25.017425,121.5448494
10分鐘,33,和平高中,1105200100,25.01963,121.54746
12分鐘,34,捷運六張犁站(基隆路),1067500200,25.023636,121.5519069
13分鐘,35,喬治商職,1105400100,25.02628,121.5549231
3分鐘,39,市政府(松壽),1105100320,25.035836,121.5648932
5分鐘,40,市政府(松智),1105100200,25.03685,121.5655763
6分鐘,41,捷運市政府站,1107100121,25.041009,121.5668354
